"","AdmArea","Month","Year","TotalAmount"
"2","Центральный административный округ","Апрель","2016","1033089057"
"14","Центральный административный округ","Май","2016","1046211200"
"26","Центральный административный округ","Июнь","2016","1035468984"
"38","Центральный административный округ","Июль","2016","1"
"50","Центральный административный округ","Август","2016","1029563915"
"62","Центральный административный округ","Сентябрь","2016","1042438615"
"74","Центральный административный округ","Октябрь","2016","1065523860"
"86","Центральный административный округ","Ноябрь","2016","1072033883"
"98","Центральный административный округ","Декабрь","2016","1083268627"
"110","Центральный административный округ","Январь","2017","1.1039155455E9"
"122","Центральный административный округ","Февраль","2017","1.12902393508E9"
"134","Центральный административный округ","Март","2017","1.11185381194E9"
"146","Центральный административный округ","Апрель","2017","1.11532081567E9"
"158","Центральный административный округ","Май","2017","5.622251613E7"
"170","Центральный административный округ","Июнь","2017","1.13130944543E9"
"182","Центральный административный округ","Июль","2017","1.19721554372E9"
"194","Центральный административный округ","Июль","2018","1.23166821378E9"
"206","Центральный административный округ","Июнь","2018","1.23054142998E9"
"218","Центральный административный округ","Май","2018","1.24709934901E9"
"230","Центральный административный округ","Март","2018","1.23893223352E9"
"242","Центральный административный округ","Февраль","2018","1.24752302493E9"
"254","Центральный административный округ","Январь","2018","1.25593240709E9"
"266","Центральный административный округ","Февраль","2019","1318968869"
"278","Центральный административный округ","Сентябрь","2017","1.21203722666E9"
"290","Центральный административный округ","Ноябрь","2018","1.2499870148E9"
"302","Центральный административный округ","Октябрь","2018","1.23665741857E9"
"314","Центральный административный округ","Сентябрь","2018","1.2218254529E9"
"326","Центральный административный округ","Декабрь","2018","1250072335"
"338","Центральный административный округ","Ноябрь","2017","1248661932"
"350","Центральный административный округ","Октябрь","2017","1233226017"
"362","Центральный административный округ","Август","2017","1205424733"
"374","Центральный административный округ","Апрель","2018","1242811612"
"386","Центральный административный округ","Декабрь","2017","1258380754"
"398","Центральный административный округ","Август","2018","1237711634"
"409","Центральный административный округ","Январь","2019","1282372753"
"421","Центральный административный округ","Апрель","2019","1.37624963296E9"
"433","Центральный административный округ","Март","2019","1300946634"
"446","Центральный административный округ","Май","2019","1320926822"
"458","Центральный административный округ","Июль","2019","1294459975"
"470","Центральный административный округ","Июнь","2019","1310177657"
"482","Центральный административный округ","Август","2019","1289896855"
"494","Центральный административный округ","Сентябрь","2019","130597783"
"506","Центральный административный округ","Октябрь","2019","1322195308"
"518","Центральный административный округ","Ноябрь","2019","1338087340"
"530","Центральный административный округ","Декабрь","2019","1.34601342363E9"
"542","Центральный административный округ","Январь","2020","1.38750364127E9"
"554","Центральный административный округ","Февраль","2020","1.34235978232E9"
"566","Центральный административный округ","Март","2020","1.35430373214E9"
"578","Центральный административный округ","Апрель","2020","1.12890369278E9"
"590","Центральный административный округ","Май","2020","1.1287873267E9"
"602","Центральный административный округ","Июнь","2020","1.11218763266E9"
"614","Центральный административный округ","Июль","2020","1.36109596383E9"
"626","Центральный административный округ","Август","2020","1348579151"
"637","Центральный административный округ","Сентябрь","2020","1.33998109129E9"
"649","Центральный административный округ","Октябрь","2020","1.35115492205E9"
"661","Центральный административный округ","Ноябрь","2020","1.36015486183E9"
"673","Центральный административный округ","Декабрь","2020","1.39025640239E9"
"685","Центральный административный округ","Январь","2021","1.39025640239E9"
"697","Центральный административный округ","Февраль","2021","1.36997152859E9"
"709","Центральный административный округ","Март","2021","1.38567590484E9"
"721","Центральный административный округ","Апрель","2021","1.38433332946E9"
"733","Центральный административный округ","Май","2021","1.39971150675E9"
"745","Центральный административный округ","Июнь","2021","1.38876361668E9"
"757","Центральный административный округ","Июль","2021","1.39215498993E9"
"769","Центральный административный округ","Август","2021","1.38141507339E9"
"781","Центральный административный округ","Сентябрь","2021","1.3748959736E9"
"793","Центральный административный округ","Октябрь","2021","1.39523217422E9"
"805","Центральный административный округ","Ноябрь","2021","1.42666801612E9"
"817","Центральный административный округ","Декабрь","2021","1.43257222785E9"
